Int,Roman,lon lat,BP
1,I,"47.4975, 19.038056",B
2,II,"47.516667, 19.016667",B
3,III,"47.566667, 19.033333",B
4,IV,"47.566667, 19.083333",P
5,V,"47.5, 19.048611",P
6,VI,"47.509667, 19.069833",P
7,VII,"47.5, 19.066667",P
8,VIII,"47.48919, 19.07012",P
9,IX,"47.466667, 19.083333",P
10,X,"47.481214, 19.130303",P
11,XI,"47.475, 19.04",B
12,XII,"47.5, 19",B
13,XIII,"47.532778, 19.066111",P
14,XIV,"47.5125, 19.108333",P
15,XV,"47.562222, 19.132222",P
16,XVI,"47.520278, 19.173889",P
17,XVII,"47.480278, 19.266667",P
18,XVIII,"47.443889, 19.176389",P
19,XIX,"47.449722, 19.133056",P
20,XX,"47.435, 19.116667",P
21,XXI,"47.416667, 19.083333",P
22,XXII,"47.421986, 19.024403",B
23,XXIII,"47.396389, 19.131111",P
